NeuronID,WindowStart_ms,WindowEnd_ms,H-statistic,p-value,Date,Round No.,p-value_corrected,p-value_significant
AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,21.849732020836854,0.0036996300369963003,2023-09-26,2,0.2491417524914175,False
AMG_2023-09-26_2_Channel.C_021_Unit 1,50,150,21.448176707392967,0.0038996100389961006,2023-09-26,2,0.2491417524914175,False
AMG_2023-09-26_2_Channel.C_022_Unit 1,150,250,19.47764093797164,0.008399160083991601,2023-09-26,2,0.36139243218535294,False
AMG_2023-09-26_3_Channel.C_004_Unit 1,2050,2150,19.481279253937576,0.0084991500849915,2023-09-26,3,0.36139243218535294,False
AMG_2023-10-03_1_Channel.C_021_Unit 1,1050,1150,15.001258375551519,0.0484951504849515,2023-10-03,1,0.7241537750986805,False
AMG_2023-10-03_3_Channel.C_020_Unit 1,300,450,35.624800269111084,0.00019998000199980003,2023-10-03,3,0.0958237509582375,False
AMG_2023-10-03_3_Channel.C_020_Unit 1,800,900,18.102817541467612,0.013798620137986202,2023-10-03,3,0.37781936092105073,False
AMG_2023-10-03_4_Channel.C_002_Unit 1,300,650,28.25185165073847,0.00039996000399960006,2023-10-03,4,0.0958237509582375,False
AMG_2023-10-04_1_Channel.C_008_Unit 1,150,350,16.73909317627084,0.027097290270972903,2023-10-04,1,0.5251141552511416,False
AMG_2023-10-04_1_Channel.C_017_Unit 2,100,250,17.718720260085696,0.017598240175982403,2023-10-04,1,0.43995600439956006,False
AMG_2023-10-04_2_Channel.C_002_Unit 1,150,550,15.82550723913716,0.0390960903909609,2023-10-04,2,0.6812197568121976,False
AMG_2023-10-04_2_Channel.C_015_Unit 1,150,450,15.437359816015075,0.046495350464953504,2023-10-04,2,0.7241537750986805,False
AMG_2023-10-04_2_Channel.C_022_Unit 1,150,600,19.34988124556312,0.008799120087991202,2023-10-04,2,0.36139243218535294,False
AMG_2023-10-04_3_Channel.C_002_Unit 1,1000,1100,16.55617722952986,0.0273972602739726,2023-10-04,3,0.5251141552511416,False
AMG_2023-10-04_3_Channel.C_002_Unit 1,2100,2250,17.021051621811655,0.0226977302269773,2023-10-04,3,0.48337758816710924,False
AMG_2023-10-04_4_Channel.C_000_Unit 1,150,250,24.334056348539946,0.0004999500049995,2023-10-04,4,0.0958237509582375,False
AMG_2023-10-04_4_Channel.C_005_Unit 2,100,400,18.98801180597141,0.0115988401159884,2023-10-04,4,0.36221377862213777,False
AMG_2023-10-05_2_Channel.C_012_Unit 1,650,850,20.34115432239157,0.005099490050994901,2023-10-05,2,0.26656425266564254,False
AMG_2023-10-10_2_Channel.C_001_Unit 1,250,450,17.371953413413753,0.0206979302069793,2023-10-10,2,0.48337758816710924,False
AMG_2023-10-10_2_Channel.C_005_Unit 1,300,550,21.1853024118739,0.0035996400359964,2023-10-10,2,0.2491417524914175,False
AMG_2023-10-10_2_Channel.C_005_Unit 1,1550,1650,21.39742289942137,0.0047995200479952005,2023-10-10,2,0.26656425266564254,False
AMG_2023-10-10_2_Channel.C_015_Unit 1,1050,1250,15.322947885235019,0.043195680431956804,2023-10-10,2,0.7241537750986805,False
AMG_2023-10-10_2_Channel.C_015_Unit 1,1350,1450,18.952274203161526,0.0100989901009899,2023-10-10,2,0.36221377862213777,False
ER_2023-10-24_2_Channel.C_008_Unit 1,1800,1900,15.902403483230854,0.0365963403659634,2023-10-24,2,0.6575904909509048,False
ER_2023-10-27_3_Channel.C_010_Unit 1,1700,1800,16.437993343774398,0.028697130286971302,2023-10-27,3,0.5322854811293064,False
ER_2023-10-27_4_Channel.C_004_Unit 1,50,250,23.143799282510567,0.000999900009999,2023-10-27,4,0.14373562643735627,False
ER_2023-10-27_4_Channel.C_011_Unit 1,100,200,24.62172449128979,0.001999800019998,2023-10-27,4,0.22997700229977,False
ER_2023-11-08_4_Channel.C_019_Unit 1,250,550,21.793889275620025,0.0030996900309969004,2023-11-08,4,0.2491417524914175,False
ER_2023-11-20_1_Channel.C_018_Unit 1,200,400,18.601293751595914,0.0122987701229877,2023-11-20,1,0.36221377862213777,False
ER_2023-11-22_2_Channel.C_006_Unit 1,1900,2000,19.0121166246146,0.0105989401059894,2023-11-22,2,0.36221377862213777,False
ER_2023-11-22_3_Channel.C_003_Unit 3,50,150,17.035226224421326,0.0225977402259774,2023-11-22,3,0.48337758816710924,False
ER_2023-11-22_4_Channel.C_015_Unit 1,2200,2300,18.51200000000002,0.0163983601639836,2023-11-22,4,0.42859350428593507,False
ER_2023-11-25_2_Channel.C_017_Unit 2,1600,1700,15.20710059171598,0.0451954804519548,2023-11-25,2,0.7241537750986805,False
ER_2023-11-27_3_Channel.C_017_Unit 1,1150,1550,17.13898632075928,0.021597840215978402,2023-11-27,3,0.48337758816710924,False
ER_2023-12-07_3_Channel.C_027_Unit 1,600,700,18.614720263032307,0.012598740125987402,2023-12-07,3,0.36221377862213777,False
ER_2023-12-11_2_Channel.C_004_Unit 2,100,300,15.044802972523692,0.0466953304669533,2023-12-11,2,0.7241537750986805,False
ER_2023-12-18_2_Channel.C_011_Unit 1,100,200,18.768170240736126,0.012598740125987402,2023-12-18,2,0.36221377862213777,False
Unknown_2023-11-08_2_Channel.C_017_Unit 1,1400,1500,16.962214119986765,0.024997500249975,2023-11-08,2,0.513341522990558,False
