Date,Round No.,Time Window,Cell,P Value,Location
2023-09-26,1,"(0.0, 300.0)",Channel.C_027_Unit 1,0.030965715390678,Amygdala
2023-09-26,3,"(0.0, 2000.0)",Channel.C_002_Unit 1,0.0001048561426,Amygdala
2023-10-03,3,"(200.0, 600.0)",Channel.C_013_Unit 1,0.03527854547184,Amygdala
2023-10-03,4,"(200.0, 600.0)",Channel.C_010_Unit 2,0.000378311542831,Amygdala
2023-10-04,1,"(100.0, 700.0)",Channel.C_004_Unit 1,1.05830081034659E-06,Amygdala
2023-10-04,1,"(100.0, 500.0)",Channel.C_019_Unit 3,2.13976612550698E-05,Amygdala
2023-10-04,2,"(100.0, 500.0)",Channel.C_018_Unit 1,7.55699317281293E-11,Amygdala
2023-10-04,2,"(0.0, 2000.0)",Channel.C_020_Unit 2,1.66280772505988E-05,Amygdala
2023-10-04,3,"(0.0, 500.0)",Channel.C_002_Unit 1,2.33114874428906E-05,Amygdala
2023-10-04,3,"(0.0, 500.0)",Channel.C_004_Unit 2,0.012545428798116,Amygdala
2023-10-04,3,"(0.0, 2000.0)",Channel.C_009_Unit 1,0.038781460115805,Amygdala
2023-10-04,3,"(0.0, 700.0)",Channel.C_009_Unit 3,0.042377881281726,Amygdala
2023-10-04,4,"(0.0, 750.0)",Channel.C_022_Unit 2,0.011944886356068,Amygdala
2023-10-04,4,"(250.0, 750.0)",Channel.C_027_Unit 1,0.00029232953002,Amygdala
2023-10-05,1,"(0.0, 2000.0)",Channel.C_004,0.00986766757997,Amygdala
2023-10-11,1,"(100.0, 500.0)",Channel.C_002,1.49682454822413E-05,Amygdala
2023-10-11,3,"(0.0, 2000.0)",Channel.C_002,0.009555414268796,Amygdala
2023-10-11,3,"(0.0, 2000.0)",Channel.C_013,0.001540377255957,Amygdala
2023-10-24,2,"(250.0, 750.0)",Channel.C_002,0.01126620279013,ER
2023-10-27,4,"(0.0, 750.0)",Channel.C_011,0.006289624603342,ER
2023-10-27,4,"(0.0, 750.0)",Channel.C_020,0.006514719781525,ER
2023-10-31,1,"(250.0, 600.0)",Channel.C_005,0.004480491399968,?
2023-10-31,1,"(100.0, 600.0)",Channel.C_020,0.011429781534636,?
2023-11-08,1,"(100.0, 700.0)",Channel.C_007,0.000335148307695,?
