Date,Round No.,BestFrans,Zombies,Session,Location,_merge
2023-09-26,1,0,1,2023-09-26_R1,Amygdala,both
2023-09-26,2,0,2,2023-09-26_R2,Amygdala,both
2023-09-26,3,1,3,2023-09-26_R3,Amygdala,both
2023-09-28,1,0,0,2023-09-28_R1,Amygdala,right_only
2023-09-29,2,0,0,2023-09-29_R2,Amygdala,right_only
2023-09-29,3,1,0,2023-09-29_R3,Amygdala,both
2023-09-29,4,0,0,2023-09-29_R4,Amygdala,right_only
2023-10-03,1,0,0,2023-10-03_R1,Amygdala,right_only
2023-10-03,3,0,3,2023-10-03_R3,Amygdala,both
2023-10-03,4,2,3,2023-10-03_R4,Amygdala,both
2023-10-04,1,0,2,2023-10-04_R1,Amygdala,both
2023-10-04,2,2,2,2023-10-04_R2,Amygdala,both
2023-10-04,3,1,4,2023-10-04_R3,Amygdala,both
2023-10-04,4,0,3,2023-10-04_R4,Amygdala,both
2023-10-05,1,0,2,2023-10-05_R1,Amygdala,both
2023-10-05,2,0,3,2023-10-05_R2,Amygdala,both
2023-10-09,3,1,1,2023-10-09_R3,Amygdala,both
2023-10-10,2,2,3,2023-10-10_R2,Amygdala,both
2023-10-10,3,1,0,2023-10-10_R3,Amygdala,both
2023-10-11,1,0,2,2023-10-11_R1,Amygdala,both
2023-10-11,2,0,0,2023-10-11_R2,Amygdala,right_only
2023-10-11,3,1,2,2023-10-11_R3,Amygdala,both
2023-10-24,1,0,0,2023-10-24_R1,Amygdala,right_only
2023-10-24,2,0,1,2023-10-24_R2,ER,both
2023-10-27,3,1,2,2023-10-27_R3,ER,both
2023-10-27,4,0,2,2023-10-27_R4,ER,both
2023-11-20,1,0,1,2023-11-20_R1,ER,both
2023-11-20,2,1,1,2023-11-20_R2,ER,both
2023-11-22,1,0,0,2023-11-22_R1,ER,right_only
2023-11-22,2,1,0,2023-11-22_R2,ER,both
2023-11-22,3,2,0,2023-11-22_R3,ER,both
2023-11-22,4,0,0,2023-11-22_R4,ER,right_only
2023-11-25,1,2,2,2023-11-25_R1,ER,both
2023-11-25,2,1,0,2023-11-25_R2,ER,both
2023-11-25,3,1,1,2023-11-25_R3,ER,both
2023-11-27,1,0,0,2023-11-27_R1,ER,right_only
2023-11-27,2,0,0,2023-11-27_R2,ER,right_only
2023-11-27,3,2,0,2023-11-27_R3,ER,both
2023-11-28,3,1,1,2023-11-28_R3,ER,both
2023-11-28,4,1,1,2023-11-28_R4,ER,both
2023-12-05,4,0,1,2023-12-05_R4,ER,both
2023-12-07,1,0,0,2023-12-07_R1,ER,right_only
2023-12-07,2,0,0,2023-12-07_R2,ER,right_only
2023-12-07,3,0,0,2023-12-07_R3,ER,right_only
2023-12-11,1,0,0,2023-12-11_R1,ER,right_only
2023-12-11,2,0,0,2023-12-11_R2,ER,right_only
2023-12-11,3,0,0,2023-12-11_R3,ER,right_only
2023-12-11,4,1,0,2023-12-11_R4,ER,both
2023-12-14,1,1,2,2023-12-14_R1,ER,both
2023-12-14,2,0,0,2023-12-14_R2,ER,right_only
2023-12-14,4,1,2,2023-12-14_R4,ER,both
2023-12-18,1,0,0,2023-12-18_R1,,right_only
2023-12-18,2,4,1,2023-12-18_R2,,both
2023-12-18,3,2,2,2023-12-18_R3,,both
