Date,Round No.,BestFrans,Zombies,Session
2023-09-26,3,1,3,2023-09-26_R3
2023-09-29,3,1,0,2023-09-29_R3
2023-10-03,4,2,3,2023-10-03_R4
2023-10-04,2,2,2,2023-10-04_R2
2023-10-04,3,1,4,2023-10-04_R3
2023-10-09,3,1,1,2023-10-09_R3
2023-10-10,2,2,3,2023-10-10_R2
2023-10-10,3,1,0,2023-10-10_R3
2023-10-11,3,1,2,2023-10-11_R3
2023-10-27,3,1,2,2023-10-27_R3
2023-11-20,2,1,1,2023-11-20_R2
2023-11-22,2,1,0,2023-11-22_R2
2023-11-22,3,2,0,2023-11-22_R3
2023-11-25,1,2,2,2023-11-25_R1
2023-11-25,2,1,0,2023-11-25_R2
2023-11-25,3,1,1,2023-11-25_R3
2023-11-27,3,2,0,2023-11-27_R3
2023-11-28,3,1,1,2023-11-28_R3
2023-11-28,4,1,1,2023-11-28_R4
2023-12-11,4,1,0,2023-12-11_R4
2023-12-14,1,1,2,2023-12-14_R1
2023-12-14,4,1,2,2023-12-14_R4
2023-12-18,2,4,1,2023-12-18_R2
2023-12-18,3,2,2,2023-12-18_R3
2023-09-26,1,0,1,2023-09-26_R1
2023-09-26,2,0,2,2023-09-26_R2
2023-10-03,3,0,3,2023-10-03_R3
2023-10-04,1,0,2,2023-10-04_R1
2023-10-04,4,0,3,2023-10-04_R4
2023-10-05,1,0,2,2023-10-05_R1
2023-10-05,2,0,3,2023-10-05_R2
2023-10-11,1,0,2,2023-10-11_R1
2023-10-24,2,0,1,2023-10-24_R2
2023-10-27,4,0,2,2023-10-27_R4
2023-11-20,1,0,1,2023-11-20_R1
2023-12-05,4,0,1,2023-12-05_R4
