,NeuronID,Behavior,Source_Monkey,Stimulus_Monkeys,Behavior_Vector,Neural_Response,R_squared,coef,intercept,p_value,p_perm,q,sig
0,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,7124,"['69X', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[19  9 38 84 27 14  4  9],"[2.72718596 5.49062518 3.16319655 1.57529467 4.4883167  4.81957485
 2.53935497 5.56865696]",0.3974461318914221,-0.6304332890095684,1.942890293094024e-16,0.09379714703394788,0.06719328067193281,0.8993134394425727,False
1,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,69X,"['7124', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[15  9 41  4 13 71 12  0],"[2.66019898 5.49062518 3.16319655 1.57529467 4.4883167  4.81957485
 2.53935497 5.56865696]",0.015716055593138267,0.12536369328134167,2.220446049250313e-16,0.7673942420147113,0.7603239676032397,0.9837984951504849,False
2,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,72X,"['7124', '69X', '94B', '110E', '67G', '143H', '87J', '151J']",[18 10 21  7 17 18  3  1],"[2.66019898 2.72718596 3.16319655 1.57529467 4.4883167  4.81957485
 2.53935497 5.56865696]",0.0006031075466118585,0.024558248036285146,-5.551115123125783e-17,0.9539717956630736,0.9559044095590441,0.997675022413725,False
3,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,94B,"['7124', '69X', '72X', '110E', '67G', '143H', '87J', '151J']",[38 43 24 18  6 26 29  4],"[2.66019898 2.72718596 5.49062518 1.57529467 4.4883167  4.81957485
 2.53935497 5.56865696]",0.25631136912352903,-0.5062720307537532,5.551115123125783e-17,0.20047161279605355,0.20107989201079893,0.9088588347869123,False
4,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,110E,"['7124', '69X', '72X', '94B', '67G', '143H', '87J', '151J']",[90  3  8  8 22  9  1 18],"[2.66019898 2.72718596 5.49062518 3.16319655 4.4883167  4.81957485
 2.53935497 5.56865696]",0.05721974919481154,-0.23920649906474425,2.7755575615628914e-17,0.5683032893840485,0.7725227477252274,0.9843675722113887,False
5,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,67G,"['7124', '69X', '72X', '94B', '110E', '143H', '87J', '151J']",[23 12 17  1 23 16  3 10],"[2.66019898 2.72718596 5.49062518 3.16319655 1.57529467 4.81957485
 2.53935497 5.56865696]",0.007497704705671127,-0.08658928747640351,-1.942890293094024e-16,0.8384547867419623,0.8383161683831617,0.9843675722113887,False
6,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,143H,"['7124', '69X', '72X', '94B', '110E', '67G', '87J', '151J']",[11 70 18 17  8 17  5  3],"[2.66019898 2.72718596 5.49062518 3.16319655 1.57529467 4.4883167
 2.53935497 5.56865696]",0.023878053729686877,-0.15452525272487655,8.326672684688674e-17,0.7148443148715007,0.804019598040196,0.9843675722113887,False
7,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,87J,"['7124', '69X', '72X', '94B', '110E', '67G', '143H', '151J']",[ 3  6  4 31  2  1  4  9],"[2.66019898 2.72718596 5.49062518 3.16319655 1.57529467 4.4883167
 4.81957485 5.56865696]",0.005162873743695506,-0.0718531401101955,5.551115123125783e-17,0.8657383549322877,0.9528047195280472,0.9969532111658254,False
8,AMG_2023-09-26_2_Channel.C_018_Unit 1,AffiliationTo,151J,"['7124', '69X', '72X', '94B', '110E', '67G', '143H', '87J']",[ 8  0  0  1 26  8  1  7],"[2.66019898 2.72718596 5.49062518 3.16319655 1.57529467 4.4883167
 4.81957485 2.53935497]",0.38957422802395336,-0.6241588163472123,-5.551115123125783e-17,0.09812468641413902,0.0725927407259274,0.8993134394425727,False
9,AMG_2023-09-29_3_Channel.C_017_Unit 1,AffiliationTo,7124,"['69X', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[19  9 38 84 27 14  4  9],"[5.10152196 1.6576056  1.07287858 4.71161748 3.91948755 1.83534288
 3.18404039 3.16075488]",0.11971483204089406,0.34599831219370697,-2.7755575615628914e-17,0.4011700555749423,0.4326567343265673,0.943586027249365,False
10,AMG_2023-09-29_3_Channel.C_017_Unit 1,AffiliationTo,69X,"['7124', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[15  9 41  4 13 71 12  0],"[3.10127389 1.6576056  1.07287858 4.71161748 3.91948755 1.83534288
 3.18404039 3.16075488]",0.3664595786930146,-0.6053590494021007,-3.469446951953614e-17,0.11176558968986178,0.12268773122687732,0.8993134394425727,False
