,NeuronID,WindowStart_ms,WindowEnd_ms,Behavior,Source_Monkey,Stimulus_Monkeys,Behavior_Vector,Neural_Response,R_squared,coef,intercept,p_value,p_perm,q,sig
0,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,7124,"['69X', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[19  9 38 84 27 14  4  9],"[ 4.76190476 19.42857143  7.61904762  0.85714286 13.71428571 15.14285714
  2.57142857 11.11111111]",0.2511099289803427,-0.5011086997651731,-2.0122792321330962e-16,0.20586364722471803,0.2084791520847915,0.9166043622910437,False
1,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,69X,"['7124', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[15  9 41  4 13 71 12  0],"[ 2.85714286 19.42857143  7.61904762  0.85714286 13.71428571 15.14285714
  2.57142857 11.11111111]",0.07393524589512057,0.2719103637140752,-7.632783294297951e-17,0.5147403763857852,0.5286471352864713,0.9432421686741278,False
2,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,72X,"['7124', '69X', '94B', '110E', '67G', '143H', '87J', '151J']",[18 10 21  7 17 18  3  1],"[ 2.85714286  4.76190476  7.61904762  0.85714286 13.71428571 15.14285714
  2.57142857 11.11111111]",0.10268375774395577,0.32044306474622875,-5.551115123125783e-17,0.4390325997768255,0.41745825417458254,0.9315721489075581,False
3,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,94B,"['7124', '69X', '72X', '110E', '67G', '143H', '87J', '151J']",[38 43 24 18  6 26 29  4],"[ 2.85714286  4.76190476 19.42857143  0.85714286 13.71428571 15.14285714
  2.57142857 11.11111111]",0.15586401924239635,-0.3947961743006087,-2.42861286636753e-16,0.33307868980507516,0.32666733326667335,0.9209153158758199,False
4,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,110E,"['7124', '69X', '72X', '94B', '67G', '143H', '87J', '151J']",[90  3  8  8 22  9  1 18],"[ 2.85714286  4.76190476 19.42857143  7.61904762 13.71428571 15.14285714
  2.57142857 11.11111111]",0.10285394382085755,-0.3207085028820682,-2.0122792321330962e-16,0.43863194226596414,0.5156484351564844,0.9432421686741278,False
5,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,67G,"['7124', '69X', '72X', '94B', '110E', '143H', '87J', '151J']",[23 12 17  1 23 16  3 10],"[ 2.85714286  4.76190476 19.42857143  7.61904762  0.85714286 15.14285714
  2.57142857 11.11111111]",6.0687764337874484e-05,-0.007790235191423033,-9.020562075079397e-17,0.9853938999702694,0.9852014798520148,1.0,False
6,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,143H,"['7124', '69X', '72X', '94B', '110E', '67G', '87J', '151J']",[11 70 18 17  8 17  5  3],"[ 2.85714286  4.76190476 19.42857143  7.61904762  0.85714286 13.71428571
  2.57142857 11.11111111]",0.0018455424090663142,-0.04295977664124983,9.71445146547012e-17,0.9195494690389447,0.947005299470053,0.9959863348703493,False
7,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,87J,"['7124', '69X', '72X', '94B', '110E', '67G', '143H', '151J']",[ 3  6  4 31  2  1  4  9],"[ 2.85714286  4.76190476 19.42857143  7.61904762  0.85714286 13.71428571
 15.14285714 11.11111111]",0.007691397937094946,-0.08770061537466414,0.0,0.8364025760284283,0.887011298870113,0.9912238389894916,False
8,AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,AffiliationTo,151J,"['7124', '69X', '72X', '94B', '110E', '67G', '143H', '87J']",[ 8  0  0  1 26  8  1  7],"[ 2.85714286  4.76190476 19.42857143  7.61904762  0.85714286 13.71428571
 15.14285714  2.57142857]",0.30499394999694607,-0.5522625734167995,6.938893903907228e-17,0.1557890340509895,0.138986101389861,0.9166043622910437,False
9,AMG_2023-09-26_2_Channel.C_021_Unit 1,50,150,AffiliationTo,7124,"['69X', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[19  9 38 84 27 14  4  9],"[10.          8.          3.33333333  9.         11.         15.
  4.          8.88888889]",0.0006551742186657883,-0.025596371201123503,-2.0122792321330962e-16,0.9520277624807743,0.9438056194380562,0.9947042275741609,False
10,AMG_2023-09-26_2_Channel.C_021_Unit 1,50,150,AffiliationTo,69X,"['7124', '72X', '94B', '110E', '67G', '143H', '87J', '151J']",[15  9 41  4 13 71 12  0],"[ 5.55555556  8.          3.33333333  9.         11.         15.
  4.          8.88888889]",0.15029001838463696,0.38767256594275173,1.942890293094024e-16,0.3426594370635937,0.3451654834516548,0.9236789228194189,False
