,Focal Name,Male,Offspring of DBL7,Offspring of HHA,Offspring of 56V,Offspring of 69X,Offspring of 35R,Offspring of 7124,Offspring of 72X,Offspring of 94B,Agonistic Behavior Towards 7124,Agonistic Behavior Towards 69X,Agonistic Behavior Towards 72X,Agonistic Behavior Towards 94B,Agonistic Behavior Towards 110E,Agonistic Behavior Towards 67G,Agonistic Behavior Towards 81G,Agonistic Behavior Towards 143H,Agonistic Behavior Towards 87J,Agonistic Behavior Towards 151J
0,7124,1,0,0,0,0,0,0,0,0,0,4,2,7,4,7,3,9,3,2
1,69X,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,8,4,2,0
2,72X,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,1,0,2
3,94B,0,0,1,0,1,0,0,0,0,1,8,0,0,9,5,6,10,11,2
4,110E,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,10
5,67G,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1
6,81G,0,1,0,0,0,0,0,1,0,0,0,3,2,0,4,0,1,0,6
7,143H,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,7,0,0,1
8,87J,1,0,0,0,0,0,1,0,1,0,0,0,2,2,5,2,3,0,6
9,151J,1,0,0,0,0,0,1,0,0,0,0,0,0,5,4,1,0,6,0
