NeuronID,MonkeyName,MonkeyGroup,WindowStart_ms,WindowEnd_ms,MeanSpikeRate
AMG_2023-09-26_2_Channel.C_018_Unit 1,09X,Stranger Things,100,450,5.357142857142858
AMG_2023-09-26_2_Channel.C_018_Unit 1,0EX,Stranger Things,100,450,3.4285714285714284
AMG_2023-09-26_2_Channel.C_018_Unit 1,0FL,Stranger Things,100,450,6.984126984126984
AMG_2023-09-26_2_Channel.C_018_Unit 1,101G,Best Frans,100,450,8.857142857142858
AMG_2023-09-26_2_Channel.C_018_Unit 1,110E,Zombies,100,450,0.8571428571428571
AMG_2023-09-26_2_Channel.C_018_Unit 1,114J,Instigators,100,450,4.0
AMG_2023-09-26_2_Channel.C_018_Unit 1,143H,Zombies,100,450,15.142857142857144
AMG_2023-09-26_2_Channel.C_018_Unit 1,144H,Instigators,100,450,1.4285714285714286
AMG_2023-09-26_2_Channel.C_018_Unit 1,14F,Best Frans,100,450,16.0
AMG_2023-09-26_2_Channel.C_018_Unit 1,151J,Zombies,100,450,11.111111111111112
AMG_2023-09-26_2_Channel.C_018_Unit 1,167I,Instigators,100,450,7.142857142857143
AMG_2023-09-26_2_Channel.C_018_Unit 1,19J,Best Frans,100,450,11.714285714285715
AMG_2023-09-26_2_Channel.C_018_Unit 1,26J,Stranger Things,100,450,16.0
AMG_2023-09-26_2_Channel.C_018_Unit 1,35Y,Instigators,100,450,7.428571428571428
AMG_2023-09-26_2_Channel.C_018_Unit 1,36J,Stranger Things,100,450,4.571428571428571
AMG_2023-09-26_2_Channel.C_018_Unit 1,37I,Stranger Things,100,450,4.1269841269841265
AMG_2023-09-26_2_Channel.C_018_Unit 1,40J,Stranger Things,100,450,11.428571428571429
AMG_2023-09-26_2_Channel.C_018_Unit 1,42Z,Instigators,100,450,4.857142857142857
AMG_2023-09-26_2_Channel.C_018_Unit 1,48Z,Instigators,100,450,6.34920634920635
AMG_2023-09-26_2_Channel.C_018_Unit 1,49Y,Instigators,100,450,2.5714285714285716
AMG_2023-09-26_2_Channel.C_018_Unit 1,58I,Stranger Things,100,450,5.142857142857143
AMG_2023-09-26_2_Channel.C_018_Unit 1,59E,Instigators,100,450,11.428571428571429
AMG_2023-09-26_2_Channel.C_018_Unit 1,67G,Zombies,100,450,13.714285714285714
AMG_2023-09-26_2_Channel.C_018_Unit 1,68E,Instigators,100,450,4.857142857142857
AMG_2023-09-26_2_Channel.C_018_Unit 1,68F,Best Frans,100,450,14.571428571428573
AMG_2023-09-26_2_Channel.C_018_Unit 1,68Y,Stranger Things,100,450,8.285714285714286
AMG_2023-09-26_2_Channel.C_018_Unit 1,69X,Zombies,100,450,4.761904761904763
AMG_2023-09-26_2_Channel.C_018_Unit 1,70G,Instigators,100,450,4.571428571428571
AMG_2023-09-26_2_Channel.C_018_Unit 1,7124,Zombies,100,450,2.857142857142857
AMG_2023-09-26_2_Channel.C_018_Unit 1,72X,Zombies,100,450,19.428571428571427
AMG_2023-09-26_2_Channel.C_018_Unit 1,79G,Instigators,100,450,9.142857142857142
AMG_2023-09-26_2_Channel.C_018_Unit 1,86I,Instigators,100,450,5.428571428571429
AMG_2023-09-26_2_Channel.C_018_Unit 1,87J,Zombies,100,450,2.5714285714285716
AMG_2023-09-26_2_Channel.C_018_Unit 1,94B,Zombies,100,450,7.619047619047619
AMG_2023-09-26_2_Channel.C_018_Unit 1,DF2I,Stranger Things,100,450,4.285714285714286
AMG_2023-09-26_2_Channel.C_018_Unit 1,G701,Best Frans,100,450,10.857142857142858
AMG_2023-09-26_2_Channel.C_018_Unit 1,G942,Instigators,100,450,5.428571428571429
AMG_2023-09-26_2_Channel.C_021_Unit 1,09X,Stranger Things,50,150,6.25
AMG_2023-09-26_2_Channel.C_021_Unit 1,0EX,Stranger Things,50,150,10.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,0FL,Stranger Things,50,150,13.333333333333334
AMG_2023-09-26_2_Channel.C_021_Unit 1,101G,Best Frans,50,150,9.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,110E,Zombies,50,150,9.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,114J,Instigators,50,150,9.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,143H,Zombies,50,150,15.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,144H,Instigators,50,150,9.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,14F,Best Frans,50,150,8.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,151J,Zombies,50,150,8.88888888888889
AMG_2023-09-26_2_Channel.C_021_Unit 1,167I,Instigators,50,150,9.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,19J,Best Frans,50,150,10.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,26J,Stranger Things,50,150,8.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,35Y,Instigators,50,150,10.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,36J,Stranger Things,50,150,11.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,37I,Stranger Things,50,150,13.333333333333334
AMG_2023-09-26_2_Channel.C_021_Unit 1,40J,Stranger Things,50,150,7.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,42Z,Instigators,50,150,2.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,48Z,Instigators,50,150,6.666666666666667
AMG_2023-09-26_2_Channel.C_021_Unit 1,49Y,Instigators,50,150,7.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,58I,Stranger Things,50,150,7.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,59E,Instigators,50,150,10.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,67G,Zombies,50,150,11.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,68E,Instigators,50,150,9.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,68F,Best Frans,50,150,11.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,68Y,Stranger Things,50,150,10.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,69X,Zombies,50,150,10.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,70G,Instigators,50,150,9.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,7124,Zombies,50,150,5.555555555555555
AMG_2023-09-26_2_Channel.C_021_Unit 1,72X,Zombies,50,150,8.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,79G,Instigators,50,150,6.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,86I,Instigators,50,150,11.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,87J,Zombies,50,150,4.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,94B,Zombies,50,150,3.3333333333333335
AMG_2023-09-26_2_Channel.C_021_Unit 1,DF2I,Stranger Things,50,150,6.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,G701,Best Frans,50,150,11.0
AMG_2023-09-26_2_Channel.C_021_Unit 1,G942,Instigators,50,150,7.0
AMG_2023-09-26_2_Channel.C_022_Unit 1,09X,Stranger Things,150,250,36.25
AMG_2023-09-26_2_Channel.C_022_Unit 1,0EX,Stranger Things,150,250,35.0
