NeuronID,MonkeyName,MonkeyGroup,TaskField,WindowStart_ms,WindowEnd_ms,SpikeCount,WindowDur_s,SpikeRate
AMG_2023-09-26_2_Channel.C_000_Unit 1,37I,Stranger Things,1695750846219000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,0FL,Stranger Things,1695750846372000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,68F,Best Frans,1695750846439000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,58I,Stranger Things,1695750846583000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,58I,Stranger Things,1695750846672000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,19J,Best Frans,1695750846732000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,167I,Instigators,1695750846801000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,110E,Zombies,1695750846893000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,59E,Instigators,1695750846933000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,72X,Zombies,1695750847004000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,68F,Best Frans,1695750847077000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,114J,Instigators,1695750847128000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,14F,Best Frans,1695750847238000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,72X,Zombies,1695750847328000,650,750,1,0.1,10.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,26J,Stranger Things,1695750847398000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,68F,Best Frans,1695750847477000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,86I,Instigators,1695750847546000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,68Y,Stranger Things,1695750847613000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,14F,Best Frans,1695750847654000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,68F,Best Frans,1695750847752000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,7124,Zombies,1695750847846000,650,750,1,0.1,10.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,151J,Zombies,1695750847927000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,0FL,Stranger Things,1695750847971000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,0FL,Stranger Things,1695750848020000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,68E,Instigators,1695750848106000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,G701,Best Frans,1695750848185000,650,750,1,0.1,10.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,72X,Zombies,1695750848302000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,114J,Instigators,1695750848370000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,DF2I,Stranger Things,1695750848443000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,72X,Zombies,1695750848494000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,0EX,Stranger Things,1695750848566000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,40J,Stranger Things,1695750848609000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,35Y,Instigators,1695750848651000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,0FL,Stranger Things,1695750848689000,650,750,0,0.1,0.0
AMG_2023-09-26_2_Channel.C_000_Unit 1,86I,Instigators,1695750848773000,650,750,0,0.1,0.0
