Name,Sex,Age,Parents,Group Name,Group Category,Rank,Note
7124,M,16,J45 - J294,Zombies,Familiar,1,
69X,F,17,38S - 35R,Zombies,Familiar,3,
72X,F,14,46P - 35R,Zombies,Familiar,5,
94B,F,10,69X - HHA,Zombies,Familiar,2,
110E,F,7,56V - HHA,Zombies,Familiar,9,
67G,F,5,56V - DBL7,Zombies,Familiar,10,
81G,F,5,72X - DBL7,Zombies,Familiar,7,subject monkey
143H,F,4,69X - DBL7,Zombies,Familiar,6,
87J,M,2,94B - 7124,Zombies,Familiar,4,
151J,M,2,110E - 7124,Zombies,Familiar,8,
G701,M,10,WlE - REs8,Best Frans,Familiar,1,
14F,F,6,13S - AK3C,Best Frans,Familiar,2,
68F,F,6,54U - 69V,Best Frans,Familiar,4,
101G,F,5,45Z - DBL7,Best Frans,Familiar,3,
19J,F,2,14F - G701,Best Frans,Familiar,5,
G942,M,10,CWl9 - UNKNOWN,Instigators,Unfamiliar,1,
35Y,F,13,14Q - AK3C,Instigators,Unfamiliar,2,
49Y,F,13,17O - AK3C,Instigators,Unfamiliar,3,
48Z,F,12,41L - 69V,Instigators,Unfamiliar,3,
59E,F,7,49Y - DE86,Instigators,Unfamiliar,2,
68E,F,7,35Y - DE86,Instigators,Unfamiliar,3,
86I,F,3,42Z - G942,Instigators,Unfamiliar,4,
167I,F,3,59E - G942,Instigators,Unfamiliar,3,
114J,F,2,35Y - G942,Instigators,Unfamiliar,3,
134J,M,2,59E - G942,Instigators,Unfamiliar,2,
DF2I,M,10,UNKNOWN,Stranger Things,Unfamiliar,,
68Y,F,13,18O - DBKW,Stranger Things,Unfamiliar,,
09X,F,10,UNKNOWN,Stranger Things,Unfamiliar,,
0EX,F,10,UNKNOWN,Stranger Things,Unfamiliar,,
0FL,F,10,UNKNOWN,Stranger Things,Unfamiliar,,
37I,F,3,09X - DF2I,Stranger Things,Unfamiliar,,
58I,F,3,0FL - DF2I,Stranger Things,Unfamiliar,,
46J,M,2,0FL - DF2I,Stranger Things,Unfamiliar,,
26J,F,2,68Y - DF2I,Stranger Things,Unfamiliar,,
36J,F,2,0EX - DF2I,Stranger Things,Unfamiliar,,
40J,F,2,09X - DF2I,Stranger Things,Unfamiliar,,
