n_pcs,group,marginal_r2,perm_pvalue,pca_var_explained
2,Zombies,0.00019669444292247373,0.7488,0.506186141986141
2,Best Frans,0.002432828185676361,0.5622,0.7474043171613363
2,Instigators,0.00028471190098888766,0.712,0.47480608611624364
3,Zombies,0.0017105547869532556,0.0284,0.6488663558213386
3,Best Frans,0.0027661559434962735,0.8076,0.9113155432590373
3,Instigators,0.0003074614795307573,0.8826,0.589578266794119
4,Zombies,0.0017442607616797723,0.0792,0.7587111169430951
4,Best Frans,0.005530824715301197,0.844,1.0
4,Instigators,0.0008709027391508029,0.737,0.6922470879444862
5,Zombies,0.0019362332683710015,0.077,0.8564172330937618
5,Best Frans,0.005530824715301197,0.844,1.0
5,Instigators,0.0020603030702777136,0.2852,0.7775219225611574
