NeuronID,WindowStart_ms,WindowEnd_ms,F-statistic,p-value,Date,Round No.
AMG_2023-09-26_2_Channel.C_018_Unit 1,100,450,2.6301486676647983,0.013986013986013986,2023-09-26,2
AMG_2023-09-26_2_Channel.C_021_Unit 1,50,150,3.3739632844554173,0.004995004995004995,2023-09-26,2
AMG_2023-09-26_2_Channel.C_022_Unit 1,150,250,2.8374468569185267,0.016983016983016984,2023-09-26,2
AMG_2023-09-26_3_Channel.C_004_Unit 1,2050,2150,3.18080357142857,0.007992007992007992,2023-09-26,3
AMG_2023-10-03_1_Channel.C_006_Unit 1,1400,1550,2.169769348317468,0.03396603396603397,2023-10-03,1
AMG_2023-10-03_3_Channel.C_020_Unit 1,300,450,4.8562471270298415,0.002997002997002997,2023-10-03,3
AMG_2023-10-03_3_Channel.C_020_Unit 1,800,900,2.7838331589428575,0.015984015984015984,2023-10-03,3
AMG_2023-10-03_3_Channel.C_021_Unit 1,150,400,2.0271174487408845,0.03996003996003996,2023-10-03,3
AMG_2023-10-03_4_Channel.C_002_Unit 1,300,650,4.131967521164649,0.000999000999000999,2023-10-03,4
AMG_2023-10-04_1_Channel.C_008_Unit 1,150,350,2.6540565177757522,0.02197802197802198,2023-10-04,1
AMG_2023-10-04_1_Channel.C_012_Unit 1,100,400,2.4973979183346673,0.023976023976023976,2023-10-04,1
AMG_2023-10-04_1_Channel.C_017_Unit 2,100,250,2.189644416718653,0.01898101898101898,2023-10-04,1
AMG_2023-10-04_2_Channel.C_002_Unit 1,150,550,2.32878355595902,0.025974025974025976,2023-10-04,2
AMG_2023-10-04_2_Channel.C_022_Unit 1,150,600,2.743770096463023,0.007992007992007992,2023-10-04,2
AMG_2023-10-04_3_Channel.C_002_Unit 1,2100,2250,3.1868567921697806,0.002997002997002997,2023-10-04,3
AMG_2023-10-04_4_Channel.C_000_Unit 1,150,250,4.01497005988024,0.000999000999000999,2023-10-04,4
AMG_2023-10-04_4_Channel.C_005_Unit 2,100,400,2.1653899721448475,0.03996003996003996,2023-10-04,4
AMG_2023-10-05_2_Channel.C_012_Unit 1,650,850,2.7018255578093306,0.00999000999000999,2023-10-05,2
AMG_2023-10-10_2_Channel.C_001_Unit 1,250,450,3.2332677165354333,0.002997002997002997,2023-10-10,2
AMG_2023-10-10_2_Channel.C_005_Unit 1,300,550,2.9540645879732734,0.006993006993006993,2023-10-10,2
AMG_2023-10-10_2_Channel.C_005_Unit 1,1550,1650,2.221518987341773,0.029970029970029972,2023-10-10,2
ER_2023-10-27_4_Channel.C_011_Unit 1,100,200,4.018476180348788,0.000999000999000999,2023-10-27,4
ER_2023-11-08_4_Channel.C_019_Unit 1,250,550,2.2652245896919085,0.01898101898101898,2023-11-08,4
ER_2023-11-08_4_Channel.C_021_Unit 1,1100,1250,2.0357818411097095,0.03296703296703297,2023-11-08,4
ER_2023-11-20_1_Channel.C_018_Unit 1,200,400,2.354461639776095,0.022977022977022976,2023-11-20,1
ER_2023-11-22_2_Channel.C_006_Unit 1,1900,2000,2.4567567567567568,0.015984015984015984,2023-11-22,2
ER_2023-11-22_2_Channel.C_011_Unit 1,100,250,2.6129032258064515,0.015984015984015984,2023-11-22,2
ER_2023-11-22_3_Channel.C_003_Unit 3,50,150,2.223333333333334,0.03996003996003996,2023-11-22,3
ER_2023-11-22_4_Channel.C_015_Unit 1,2200,2300,2.6590909090909087,0.011988011988011988,2023-11-22,4
ER_2023-12-07_3_Channel.C_027_Unit 1,600,700,2.516846361185984,0.02097902097902098,2023-12-07,3
ER_2023-12-18_2_Channel.C_011_Unit 1,100,200,2.400378310214375,0.017982017982017984,2023-12-18,2
ER_2023-12-18_2_Channel.C_011_Unit 1,1450,1550,2.05,0.04395604395604396,2023-12-18,2
Unknown_2023-10-31_2_Channel.C_022_Unit 1,2300,2400,2.18192868719611,0.03896103896103896,2023-10-31,2
Unknown_2023-11-08_2_Channel.C_005_Unit 1,2000,2100,2.131993006993006,0.03496503496503497,2023-11-08,2
