old_NeuronID,new_NeuronID
AMG_2023-09-26_1_Channel.C_008_Unit 1,AMG_2023-09-26_1_Channel.C_002_Unit 1
AMG_2023-09-26_1_Channel.C_011_Unit 1,AMG_2023-09-26_1_Channel.C_011_Unit 1
AMG_2023-09-26_1_Channel.C_019_Unit 1,AMG_2023-09-26_1_Channel.C_004_Unit 1
AMG_2023-09-26_2_Channel.C_023_Unit 1,AMG_2023-09-26_2_Channel.C_002_Unit 4
AMG_2023-09-26_2_Channel.C_013_Unit 1,AMG_2023-09-26_2_Channel.C_002_Unit 2
AMG_2023-09-26_2_Channel.C_000_Unit 1,AMG_2023-09-26_2_Channel.C_002_Unit 1
AMG_2023-09-26_2_Channel.C_014_Unit 1,AMG_2023-09-26_2_Channel.C_002_Unit 3
AMG_2023-09-26_2_Channel.C_017_Unit 1,AMG_2023-09-26_2_Channel.C_003_Unit 2
AMG_2023-09-26_2_Channel.C_018_Unit 1,AMG_2023-09-26_2_Channel.C_003_Unit 3
AMG_2023-09-26_2_Channel.C_015_Unit 1,AMG_2023-09-26_2_Channel.C_003_Unit 1
AMG_2023-09-26_2_Channel.C_000_Unit 2,AMG_2023-09-26_2_Channel.C_004_Unit 1
AMG_2023-09-26_2_Channel.C_010_Unit 1,AMG_2023-09-26_2_Channel.C_004_Unit 2
AMG_2023-09-26_2_Channel.C_008_Unit 1,AMG_2023-09-26_2_Channel.C_007_Unit 1
AMG_2023-09-26_2_Channel.C_011_Unit 1,AMG_2023-09-26_2_Channel.C_007_Unit 2
AMG_2023-09-26_2_Channel.C_005_Unit 1,AMG_2023-09-26_2_Channel.C_009_Unit 1
AMG_2023-09-26_2_Channel.C_010_Unit 2,AMG_2023-09-26_2_Channel.C_011_Unit 1
AMG_2023-09-26_2_Channel.C_002_Unit 1,AMG_2023-09-26_2_Channel.C_013_Unit 1
AMG_2023-09-26_2_Channel.C_009_Unit 1,AMG_2023-09-26_2_Channel.C_013_Unit 2
AMG_2023-09-26_2_Channel.C_022_Unit 1,AMG_2023-09-26_2_Channel.C_014_Unit 1
AMG_2023-09-26_2_Channel.C_001_Unit 1,AMG_2023-09-26_2_Channel.C_019_Unit 1
AMG_2023-09-26_2_Channel.C_021_Unit 1,AMG_2023-09-26_2_Channel.C_020_Unit 1
